"Edits the presentation angle and location of the dimension text, and relocates the dimension text.",Upraví úhel zobrazení a umístění textu kóty a přemístí text kóty.
Edits the properties that are specific to the drawing view: VIEWEDIT,"Upravuje vlastnosti, které jsou specifické pro zobrazení výkresu: EDITACEZOBRAZENÍ"
Edits the variable attributes of a block:  -ATTEDIT,Edituje proměnné atributy bloku:  -ATREDIT
Edits the variable attributes of a block: -ATTEDIT,Upraví hodnoty atributů bloku:  -ATREDIT
Educational Edition,Výuková verze
Educational Edition %d-Day Trial,Výuková verze %d-denní zkušební verze
Effective name,Efektivní název
Effective scale X,Efektivní měřítko X
Effective scale Y,Efektivní měřítko Y
Effective scale Z,Efektivní měřítko Z
Electrical,Elektro
Electrical Phase  \U+0278,Elektrická fáze  \U+0278
Electrical Phase\t\U+0278,Elektrická fáze\t\U+0278
Electrical Professional Edition,Elektro profesionální verze
Electronic Copy,Elektronická kopie
Element Assembly,Sestava prvku
Element Component,Složka prvku
Element ID,ID elementu
Element ID1,ID elementu1
Element ID2,ID elementu2
Elements,Elementy
ELEV,ZDVIH
Elevates the order of the spline,Zdvihá pořadí spline
Elevation,Zvednutí
Elevation range,Výškový rozsah
Elevation:,Zvednutí:
Elevation=%ls,Výška=%ls
Ellipse,Elipsa
ellipse,elipsy
Ellipse Arc,Eliptický Oblouk
"Ellipse, Arc","Elipsa, Oblouk"
"Ellipse, Axis, End","Elipsa, Osa, Koncový"
"Ellipse, Center","Elipsa, Střed"
Elliptical,Eliptický
Elliptical _Elliptical,Eliptický _Elliptical
Elliptical Arc,Eliptický Oblouk
Elliptical Arc Length:,Délka eliptického oblouku:
Elliptical Revision Cloud,Eliptický revizní obláček
Email,Email
Email: cr_contact@zwcad.com,Email: cr_contact@zwcad.com
Embedded,Vložený
Embedded _Embedded,Vložené _Embedded
Embedded spatial location info not found or invalid.,Vložené informace o prostorové poloze nebyly nalezeny nebo jsou neplatné.
Emphasi&ze duplicate tags,Zvýr&aznit zdvojené štítky
Empty,Prázdné
Empty _Empty,Prázdná _Empty
Empty cell found.,Nalezena prázdná buňka.
Empty custom property is not allowed.,Prázdná uživatelská vlastnost není povolena.
Empty Menu,Prázdné menu
Empty set (U+2205),Prázdné nastavení (U+2205)
empty text objects,prázdné objekty textu
En&d magnitude:,Ko&ncový úhel:
en-US,cs-CZ
Enab&le grips,Povo&lit uzly
Enable,Povolit
Enable &Dimension Input when possible,"Povolit zadávání &rozměru, pokud je to možné"
Enable &grips attraction within,P&ovolit přitažlivost uzlů
Enable &tick marks,Povoli&t osovou značku
Enable Alternative Server,Povolit alternativní server
Enable auto &update,&Povolit auto update
Enable Auto Bullets and Numbering,Povolit automatické odrážky a číslování
Enable baseline distance,Povolit základní odstup
Enable baseline gap,Povolit základní mezeru
Enable block rotation,Povolit natočení bloku
Enable block scale,Povolit měřítko bloku
"Enable Command shortcut menu when options in command. If no options in command, right-click is the same as pressing Enter.","Povolit místní nabídku příkazu, když jsou možnosti v příkazu. Pokud příkaz neobsahuje žádné možnosti, klepnutí pravým tlačítkem je stejné jako stisknutí klávesy Enter."
Enable Command shortcut menu.,Povolit režim příkazů.
Enable Default shortcut menu.,Povolit výchozí režim.
Enable Dithering,Povolit tipy pro uzly
Enable Edit shortcut menu.,Povolit režim úprav.
Enable grip &depth,Povol&it hloubku uzlů
Enable grip &tips,Povoli&t tipy pro uzly
Enable grips attraction within:\nPlease enter an integer from 1 to 10.,Povolit přitažlivost uzlů:\nZadejte integer od 1 do 10.
Enable grips in bloc&k,Povolit uzly &bloků
Enable macro &virus protection,Povolit ochran&u proti makrovirům
Enable network floating license,Povolit síťové plovoucí licence
Enable Object View Location,Povolit umístění zobrazení objektu
Enable or disable Smart Mouse function:   SMARTMOUSE,Povolit nebo zakázat funkci inteligentní myš:  CHYTRÁMYŠ
Enable Orbit Auto &Target,Povoli&t automatický cíl orbitu
Enable Poin&ter Input,Povolit zadávání &souřadnic bodů
Enable Snap,Povolit uchopení
Enable spatial reference system? [Yes/No] <No>:,Povolit prostorový referenční systém? [Ano/Ne] <Ne>:
Enable symmetric draw,Povolit symetrické kreslení
Enable the &Quick Properties Palette (CTRL+SHIFT+P),&Povolit paletu rychlých vlastností (CTRL+SHIFT+P)
Enable\nOsnap,Povolí uchopení\nobjektů
Enabled,Povoleno
Enabled;Disabled,Zapnuto;Vypnuto
Enables Dim mode: DIM,Povolit kótovací režim: KÓTA
"Enables object snap for geometry in all DWF, DWFx, PDF and DGN underlay attachments in the drawing: UOSNAP","Umožňuje uchopení objektu pro geometrii ve všech přílohách podložení DWF, DWFx, PDF a DGN ve výkresu: UOSNAP"
Enables or disables a one-color gradient tint or shade,Povolí nebo zakáže stín nebo odstín jednobarevného gradientu
Enables or disables a two-color gradient fill,Povolí nebo zakáže výplň dvoubarevného gradientu
Enables or disables table block regeneration,Povolit nebo zakázat regeneraci tabulky bloku
Enables or disables the clipping boundary of the image,Povolí nebo zakáže hranici oříznutí obrázku
Enables or disables the clipping boundary of the underlay,Povolí nebo zakáže ořezávající hranu podložení
Enables or disables the fading effect applied to externally xref drawings: XDWGFADECTL,Povolí nebo zakáže efekt vyblednutí aplikovaný na externí reference: XDWGFADECTL
Enables/Disables horizontal landing of multileader,Povolit/Zakázat horizontální prodloužení čáry multiodkazu
Encapsulated,Zapouzdřený
Enclose Text with Object,Ohraničit Text Objektem
Encryption seeds were left to default values but the vendor daemon name is not demo.,"Zdroje šifrování byly ponechány na výchozích hodnotách, avšak název dodavatele není demo."
End,Konec
End _End,Konec _End
End amplitude,Koncová amplituda
End and bend lines,Ukončení a zakřivení čar
End angle,Konc. úhel
End angle:,Koncový úhel:
End cross section,Koncový průřez
End draft angle,Koncový úhel úkosu
End extension,Konec vynášecí čáry
End extension:,Konec vynášecí čáry:
End Grip,Koncový uzel
End identifier,Koncový identifikátor
End line o&vershoot:,Přesah konco&vé čáry:
End normal,Koncová normála
End Object Isolation,Ukončit izolaci objektu
End Objects Isolation,Ukončit izolaci objektu
End of cutting plane,Konec řezové roviny
End of direction arrow,Konec směrové šipky
End offset,Konec odsazení
End offset:,Konec odsazení:
End parameter,Koncový parametr
End Point,Koncový bod
End point of parameter,Koncový bod parametru
End Point:,Koncový bod:
"End point:  X=%9.16q0,  Y=%9.16q0,  Z=%9.16q0\n","Koncový bod:  X=%9.16q0,  Y=%9.16q0,  Z=%9.16q0\n"
End segment width,Koncová šířka segmentu
End tangent,Koncová tečna
End tangent vector X,Koncový vektor tečny X
End tangent vector X;End tangent vector Y;End tangent vector Z,Koncová tečna X;Koncová tečna Y;Koncová tečna Z
End tangent vector Y,Koncový vektor tečny Y
End tangent vector Z,Koncový vektor tečny Z
End User License Agreement,Licenční smlouvu koncového uživatele
End width,Koncová šířka
End X,Konec X
End X;End Y,Konec X;Konec Y
End X;End Y;End Z,Konec X;Konec Y;Konec Z
End Y,Konec Y
End Z,Konec Z
End:,Konec:
Ending point for line definition:,Koncový bod pro definici čáry:
Ending width:,Koncová šířka:
ENDP,KON
Endpoint,Koncový
Endpoint Intersection _Endpoint Intersection,Koncový Průsečík _Endpoint Intersection
Endpoints of the line in function %ls coincide.\n,Koncové body čar ve funkci %ls se shodují.\n
Engineering,Palcové desetinné
Engl&ish (feet and inches),&Anglické (stopy a palce)
English,Anglicky
English (Canada),Angličtina (Kanada)
English (UK),Angličtina (Velká Británie)
English (United States),Angličtina (Spojené státy)
Enhance black and white printing,Vylepšení černobílého tisku
Enhanced Attribute Editor,Rozšířený editor atributů
Enhanced Attribute Extract Alert,Varování Rozšířené extrakce atributů
Enhanced Ordinate,Vylepšená staniční
Enhanced Ordinate Dimension,Vylepšená staniční kóta
Enhanced Ordinate Dimension - Settings,Vylepšená staniční kóta - Nastavení
Enhanced Windows Meta File|emf,Zdokonalený metasoubor Windows|emf
Enhanced\nOrdinate,Vylepšená\nstaniční
Enhances OFFSET: EXOFFSET,Rozšířený OFFSET:  EXOFFSET
Enhances PLAN: EXPLAN,Rychle do Nárysu:  EXPLAN
Enhances scale: EXSCALE,Rozšiřuje měřítko: EXSCALE
Enhances SCALE: EXSCALE,Rozšíření SCALE: EXSCALE
Enhances TRIM: EXTRIM,Rozšíření TRIM:  EXTRIM
Enlarge the window to full size,Zvětšit okno na plnou velikost
"Enlarges or reduces objects proportionally in the X, Y, and Z directions:  SCALE","Zvětšuje nebo změnšuje objekty proporcionálně ve směrech X, Y a Z:  MĚŘÍTKO"
"Enlarges or reduces objects proportionally in the X, Y, and Z directions: SCALE","Zvětšuje nebo změnšuje objekty proporcionálně ve směrech X, Y a Z.:  MĚŘÍTKO"
Ensures the width and height of the object stay in proportion,"Zajistí, aby šířka a výška objektu zůstaly v poměru"
Enter 'ATTDISP on the command line for transparent use.,Na příkazovém řádku zadejte 'ATTDISP pro transparentní použití.
Enter a dimensional constraint option [Linear/Horizontal/Vertical/Aligned/ANgular/Radius/Diameter/Convert] <%s>:,Zadejte možnost rozměrového omezení [Lineární/Horizontální/Vertikální/Šikmá/Úhlová/poloměR/Průměr/přEvést] <%s>:
Enter a dimensional constraint option [Linear/Horizontal/Vertical/Aligned/ANgular/Radius/Diameter/Form/Convert] <%s>:,Zadejte možnost rozměrového omezení [Lineární/Horizontální/Vertikální/Šikmá/Úhlová/poloměR/Průměr/Tvar/přEvést] <%s>:
"Enter a distance, pick two points, or choose an option.","Zadejte vzdálenost, označte dva body, nebo vyberte volbu."
Enter a font name <%ls>:,Zadejte název písma <%ls>:
Enter a font name <%s>:,Zadejte název písma <%s>:
Enter a name for new dimension style or [?]:,Zadejte název nového kótovacího stylu nebo [?]:
Enter a name for the new plot style table.,Zadat název nové tabulky stylu vykreslování
Enter a name to identify the network server (UNC) you will use to manage the plotter.,"Zadejte název identifikující, který síťový server (UNC) budete používat ke správě plotru."
Enter a new layer name <varies>:,Zadejte nový název hladiny <různé>:
Enter a positive value.,Zadejte kladnou hodnotu.
Enter a STEP AP203 format file:,Zadejte soubor formátu STEP AP203:
Enter a STEP AP214 format file:,Zadejte soubor formátu STEP AP214:
Enter a trial code below to evaluate full functional ZWCAD for 30 days.,Zadejte zkušební kód k vyhodnocení plné funkčního ZWCADu po dobu 30 dnů.
Enter a valid lineweight value.,Zadejte platnou hodnotu pro tloušťku čáry.
Enter additional paths for locating Xreferences,Zadejte další cesty pro umístění externích referencí
Enter an expression to be calculated,"Zadejte výraz, který se má vypočítat"
Enter an option [0/1/2/3/4/5/6] <%d>:,Zadejte volbu [0/1/2/3/4/5/6] <%d>:
Enter an option [?/Name/Select] <Select>:,Zadejte možnost [?/Název/Vybrat] <Vybrat>:
Enter an option [?/Orthographic/Delete/Restore/Save/sEttings/Window]:,Zadejte možnost [?/oRto/odsTraň/oBnov/uLož/Nastavení/Okno]:
Enter an option [Align/Fit/Center/Middle/Left/Right/TL/TC/TR/ML/MC/MR/BL/BC/BR]:,Zadejte volbu [srovnAt/Mezi/Centr/sTřed/Levý/Vpravo/HL/HC/HP/SL/SC/SP/DL/DC/DP]:
Enter an option [Assign/Remove] <Assign>:,Zadat volbu [Přiradit/Odstranit] <Přiradit>:
Enter an option [Cascade/tile Horizontal/tile Vertical/Arrange icons] <Cascade>:,Zadejte možnost [Kaskáda/dlaždiceHor/dlaždiceVer/Uspořádat ikony] <Kaskáda>:
Enter an option [Control] <1>:,Zadejte možnost [Řízení] <1>:
Enter an option [Frozen/Thawed] <Thawed>:,Zadejte volbu [Zmraz/Rozmraz] <Rozmraz>:
Enter an option [On/OFF/Fields/User fields/Log file/LOCation/Text properties/UNits]:,Zadejte možnost [ZAPnout/VYPnout/Pole/Uživatelská pole/PRotokol/UMístění/Vlastnosti textu/Jednotky]:
Enter an option [ON/OFF/Settings] <OFF>:,Zadejte volbu [ZAPnout/VYPnout/Nastavení] <VYPnout>:
Enter an option [ON/OFF/Settings] <ON>:,Zadejte volbu [ZAPnout/VYPnout/Nastavení] <ZAPnout>:
Enter an option [ON/OFF],Zadejte volbu [ZAPnout/VYPnout]
Enter an option [Save changes/Discard changes] <Save changes>:,Zadejte možnost [Uložit změny/Zrušit změny] <Uložit změny>:
Enter an option [Save/Delete] <Cancel>:,Zadejte možnost [Uložit/Vymazat] <Storno>:
Enter an option [Show/Hide/Reset] <Show>:,Zadejte možnost [Zobrazit/Skrýt/Resetovat] <Zobrazit>:
Enter an option [Source/REPlace/Base point/Items/Angle between items/Fill angle/Rows/Levels/ROTate items/RESet/eXit] <eXit>:,Zadejte volbu [zDrojová/Nahradit/Referenční bod/Položky/Úhel mezi prvky/úhel Vyplnění/Řádky/ÚRovně/Otáčet položky/RESetovat/Konec] <Konec>:
Enter an option [Source/REPlace/Base point/Rows/Columns/Levels/RESet/eXit] <eXit>:,Zadejte volbu [zDrojová/Nahradit/Referenční bod/Řádky/Sloupce/Úrovně/RESetovat/Konec] <Konec>:
Enter an option [Source/REPlace/Method/Base point/Items/Rows/Levels/Align items/Z direction/RESet/eXit] <eXit>:,Zadejte volbu [zDrojová/Nahradit/Metoda/Referenční bod/Položky/Řádky/Úrovně/Srovnané položky/směr Z/RESetovat/Konec] <Konec>:
Enter an option [Sum/Average/COunt/CEll/Equation]:,Zadejte volbu [Součet/PRůměr/POčet/Buňka/Rovnice]:
Enter an option [Top/Bottom/Front/BAck/Left/Right] <Top>:,Zadejte možnost [Horní/Dolní/Přední/Zadní/Levý/PRavý] <Horní>:
Enter an option for text edit mode [Single/Multiple] <%ls>:,Zadat volbu režimu úprav [Jednotlivě/Násobně] <%ls>:
Enter block names <*>:,Zadejte název bloku <*>:
Enter cell width <%ls>:,Zadejte šířku buňky <%ls>:
Enter Color Book name <%s>:,Zadejte název Knihy barev <%s>:
Enter Color Book name:,Zadejte název Knihy barev:
Enter color name <%s>:,Zadejte název barvy <%s>:
Enter color name:,Zadejte název barvy:
Enter contrast value (0-100) <%d>:,Zadejte hodnotu kontrastu (0-100) <%d>:
Enter customization file name or [. (for none)] <%s>:,Zadejte název souboru přizpůsobení nebo [. (žádný)] <%s>:
Enter data file name:,Zadejte název datového souboru:
Enter Data Link Name,Zadejte název datového odkazu
Enter delay time (in milliseconds):,Zadejte čas prodlevy (v milisekundách):
Enter DGN file format [V7/V8] <%s>:,Zadejte formát souboru DGN [V7/V8] <%s>:
Enter DGN underlay name(s) to bind <?>:,"Zadejte název(y) DGN podložení, které chcete vázat <?>:"
Enter fade value (0-100) <%d>:,Zadejte hodnotu vyblednutí (0-100) <%d>:
Enter File Name,Zadat název souboru
Enter file name for wblock:,Zadejte název souboru pro wblok:
Enter file name:,Zadat název souboru:
Enter filename for IFC import:,Zadejte název souboru pro import IFC:
Enter image file name to attach:,Zadejte název souboru obrázku pro připojení:
Enter location info file path or [use Embedded spatial location] <%ls>:,Zadejte cestu k souboru s informacemi o umístění nebo [použijte Vložené prostorové umístění] <%ls>:
Enter mapping setup(s) to list <*>:,Zadejte nastavení mapování do seznamu <*>:
Enter mapping setup:,Zadejte nastavení mapování:
Enter minimum cell height <%d line>:,Zadejte minimální výšku buňky <%d řádek>:
Enter mline scale <%.4f>:,Zadejte měřítko multičáry <%.4f>:
Enter model name or [?] <%s>:,Zadejte název modelu nebo [?] <%s>:
Enter model(s) to list <*>:,Zadejte model(y) do seznamu <*>:
Enter name for new scale:,Zadejte název pro nové měřítko:
Enter name of block to sync or [?]:,Zadejte název bloku pro synchronizaci nebo [?]:
Enter name of customization file to load:,Zadejte název souboru přizpůsobení pro načtení:
Enter name of output file:,Zadat název výstupního souboru:
Enter name of sheet list <%ls>:,Zadejte název seznamu listů <%ls>:
Enter name(s) to purge <*>:,Zadat název pro vyčistění <*>:
Enter notes to include with this archive file,"Zadejte poznámky, které chcete zahrnout do tohoto archivního souboru"
Enter notes to include with this transmittal package,Zadejte poznámky zahrnuté do tohoto balíčku přenosu
Enter object selection method [All/Nested] <All>:,Zadat metodu výběru objektu [Vše/VLožené] <Vše>:
Enter option [?/Add/Delete/Reset/Exit] <Add>:,Zadejte možnost [?/Přidat/Odstranit/Resetovat/Konec] <Přidat>:
Enter or specify the row height of a catalog table from the drawing.,Zadejte nebo určete výšku řádku katalogové tabulky z výkresu.
Enter or specify the text height from the drawing.,Zadejte nebo určete výšku textu z výkresu.
Enter other big font name for substitute:,Pro nahrazení vložte jiný název Big fontu:
Enter other font name for substitute:,Pro nahrazení vložte jiný název fontu:
Enter path to image file to attach:,"Zadejte cestu k souboru obrázku, který chcete připojit:"
Enter scale name to add or [?]%ls:,Zadejte název měřítka pro přidání nebo [?]%ls:
Enter scale name to add or [?]%s:,Zadejte název měřítka pro přidání nebo [?]%s:
Enter scale name to delete or * to delete all unused scales:,Zadejte název měřítka pro odstranění nebo * odstranit všechna nepoužitá měřítka:
Enter scale name to delete or [?]%ls:,Zadejte název měřítka pro odstranění nebo [?]%ls:
Enter scale name to delete or [?]%s:,Zadejte název měřítka pro odstranění nebo [?]%s:
Enter scale ratio:,Zadejte poměr měřítka:
Enter seed file(s) to list <*>:,Zadejte počáteční soubor(y) do seznamu <*>:
Enter sheet number,Zadejte číslo listu
Enter sheet selection &name:,Zadejte n&ázev výběru listů:
Enter stylization option [RGB/Object color/Normal/Elevation/Intensity/Classification] <%ls>:,Zadejte možnost stylizace [RGB/Barva objektu/Normální/Výška/Intenzita/Klasifikace] <%ls>:
Enter table style name <%ls>:,Zadejte název stylu tabulky <%ls>:
Enter tag number,Zadejte číslo příznaku
"Enter the area you want to represent using full scale units. Example: to draw an area of 12 x 9 meters, enter 12 under Width and 9 under Length.","Zadejte velikost výsledné oblasti. Příklad: pokud chcete kreslit na ploše 12 x 9 meterů, zadejte 12 v políčku Šířka a 9 v políčku Délka."
"Enter the area you want to represent using full scale units. Example: to draw in an area 12 x 9 meters, enter 12 under Width and 9 under Length.","Zadejte velikost výsledné oblasti. Příklad: pokud chcete kreslit na ploše 12 x 9 metrů, zadejte 12 v políčku Šířka a 9 v políčku Délka."
Enter the array type [Rectangular/PAth/POlar] <%ls>:,Zadejte typ pole [Obdélníkové/Cesta/Polární] <%ls>:
Enter the command name to repeat:,Zadejte název příkazu pro opakování:
Enter the default lineweight (0.0 mm - 2.11 mm) or [?] <Default>:,Zadejte výchozí tloušťku čáry (0.0 mm - 2.11 mm) nebo [?] <Výchozí>:
"Enter the default lineweight (0.0"" - 0.083"") or [?] <Default>:","Zadejte výchozí tloušťku čáry (0.0"" - 0.083"") nebo [?] <Výchozí>:"
Enter the drawing file name to recover,"Zadete název výkresu, který chcete obnovit"
Enter the DWF file name to open:,Zadejte název DWF souboru pro otevření:
Enter the file name for DGN export <%s>:,Zadejte název souboru pro DGN export <%s>:
Enter the file name for DGN import:,Zadejte název souboru pro DGN import:
Enter the height of text <%ls>:,Zadejte výšku textu <%ls>:
Enter the height of text <%s>:,Zadejte výšku textu <%s>:
Enter the increment file name if necessary,Přídavek k názvu souboru pokud je to nezbytné
Enter the linetype(s) to list <*>:,Zadejte typ čar(y) pro výpis <*>:
Enter the location [TL/TR/BL/BR] <%ls>:,Zadejte umístění [HL/HP/DL/DP] <%ls>:
Enter the location [TL/TR/BL/BR] <%s>:,Zadejte umístění [HL/HP/DL/DP] <%s>:
Enter the measurement units [Inches/Millimeters/Pixels] <%ls>:,Zadejte jednotky [Palce/Milimetry/PIxely] <%ls>:
Enter the measurement units [Inches/Millimeters/Pixels] <%s>:,Zadejte jednotky [Palce/Milimetry/PIxely] <%s>:
Enter the name of a Customization Group to unload:,Zadejte název skupiny přizpůsobení pro uvolnění:
Enter the name of block to list <*>:,Zadejte název bloku do seznamu <*>:
Enter the name of sheet set to open:,"Zadejte název sady listů, kterou chcete otevřít:"
Enter the name of SHX file to load:,Zadejte název SHX souboru pro načtení:
Enter the name of template file or [. (for none)],Zadejte název souboru šablony [. (pro žádný)]
Enter the name of the block reference to be replaced or [? (list) / = (select)]:,"Zadejte název reference bloku, který má být nahrazen, nebo [? (seznam) / = (vybrat)]:"
Enter the name of the block reference to replace block %ls or [? (list) / = (select)]:,"Zadejte název reference bloku, který nahradí blok %ls, nebo [? (seznam) / = (vybrat)]:"
Enter the name of the view to edit layer state or [?]:,Zadejte název pohledu pro úpravy snímku hladiny nebo [?]:
Enter the name of the view to save:,Zadejte název pohledu pro uložení:
Enter the name of the view you want to restore:,"Zadejte název pohledu, který chcete obnovit:"
Enter the name of WMF file to import (no extension):,Zadejte název WMF souboru pro import (bez přípony):
Enter the name of workspace to make current [?] <%ls>:,"Zadejte název pracovního prostoru, který chcete nastavit jako aktuální [?] <%ls>:"
Enter the name(s) of the view to list <*>:,Zadejte názvy pohledů pro výpis <*>:
Enter the number of columns <%d>:,Zadat počet sloupců <%d>:
Enter the number of items <%d>:,Zadat počet položky <%d>:
Enter the number of items along the path <%d>:,Zadejte počet položek podle cesty <%d>:
Enter the number of items or [Fill entire path] <%d>:,Zadejte počet položek nebo [Vyplnit celou cestu] <%d>:
Enter the number of levels <%d>:,Zadat počet úrovní <%d>:
Enter the number of operations to undo or [Auto/Control/BEgin/End/Mark/Back] <1>:,Zadejte počet operací k vrácení zpět nebo [Auto/Řízení/zaČátek/kOnec/ozNač/Zpátky] <1>:
Enter the number of rows <%d>:,Zadat počet řádků <%d>:
Enter the number of rows in the toolbar <1>:,Zadejte počet řádků na panelu nástrojů <1>:
Enter the path for log file <%ls>:,Zadejte cestu k protokolu <%ls>:
Enter the path for log file <%s>:,Zadejte cestu k protokolu <%s>:
Enter the path method [Divide/Measure] <%ls>:,Zadejte metodu cesty [Dělú/dělM] <%ls>:
Enter the path name <%s>:,Zadejte název cesty <%s>:
Enter the range using one of the following formats:\n\n·A1:D10 (for a rectangular region)\n·A:A (for a single column)\n·A:D (for a set of columns),Zadejte rozsah pomocí jednoho z následujících formátů:\n\n·A1:D10 (pro obdélníkovou oblast)\n·A:A (pro jeden sloupec)\n·A:D (pro sadu sloupců)
Enter the root folder for the sheet set.,Zadejte kořenovou složku pro sadu listů.
Enter the stamp direction [Horizontal/Vertical] <%ls>:,Zadejte orientaci označení [Horizontální/Vertikální] <%ls>:
Enter the stamp direction [Horizontal/Vertical] <%s>:,Zadejte orientaci označení [Horizontální/Vertikální] <%s>:
Enter the user field 1 <%ls>:,Zadejte uživatelské pole 1 <%ls>:
Enter the user field 1 <%s>:,Zadejte uživatelské pole 1 <%s>:
Enter the user field 2 <%ls>:,Zadejte uživatelské pole 2 <%ls>:
Enter the user field 2 <%s>:,Zadejte uživatelské pole 2 <%s>:
Enter UNDO control option [All/None/One/Combine/Layer] <All>:,Zadejte volbu pro příkaz ZPĚT [Vše/Nic/Jeden/Kombinace/Hladina] <Vše>:
Enter URL of data to add...,Zadejte URL dat pro přidání...
Enter variable(s) to list <*>:,Do seznamu vložte systém proměnných <*>:
Enter view number,Zadejte číslo pohledu
Enter Yes or No.,Vložte Ano nebo Ne.
"Enters text within the specified text bounding box in the drawing area, and regards it as an entity. The text bounding box defines the width of a paragraph and its location in the drawing.",Zadá text do určeného textového ohraničovacího rámečku na kreslicí ploše a považuje jej za entitu. Text ohraničovacího rámečku určuje šířku odstavce a jeho umístění ve výkresu.
Entire _Entire,Celý _Entire
Entire cross section,Celý příčný řez
Entire drawing,Celý výkres
Entire LAYout _Entire LAYout,Celý Rozvržení _Entire LAYout
Entire sheet:,Celý list:
Entities,Entity
Entities are cloning.,Subjekty jsou klonovány.
Entities for exporting,Entity pro exportování
Entities in drawing:,Objektů ve výkresu:
Entities number:,Počet entit:
Entities Objects Dxf Cdf Sdf _Entities Objects Dxf Cdf Sdf,Entity Objekty Dxf Cdf Sdf _Entities Objects Dxf Cdf Sdf
Entities on selected layers:,Objekty ve vybraných hladinách:
"entities or table entries including layers, linetypes, etc.","objekty nebo položky tabulky včetně hladin, typů čar, atd"
Entity,Entita
Entity _Entity,Entita _Entity
Entity Name,Název objektu
Entity Object Add Subtract _Entity Object Add Subtract,Entita OBjekt Přičíst Odečíst _Entity Object Add Subtract
Entity s&election,&Výběr Entity
Entity s&nap,Úc&hop entity
Entity sort order,Pořadí řazení entit
Entity Type,typ entity
Entity:,Entita:
Entry carpet,Vstupní koberec
Equal,Stejný
Equal &X and Y spacing,R&ovnoměrná rozteč X a Y
Equal Constraint,Stejné vazba
Equal Offset _Equal Offset,Stejný Odsazení _Equal Offset
Equal Right Left _Equal Right Left,Stejný Pravý Levý _Equal Right Left
Equally offsets faces on a solid object by a specified distance or point: SOLIDEDIT,"Rovnoměrně odsadí čelá na 3D tělese definovaním vzdálenosti, nebo bodu:  OBJEDIT"
Equation,Rovnice
Er&amp;ase\tDel,Vym&amp;až\tDel
Erase,Vymaž
Erase Aborted.\n,vymazání přerušeno.\n
Erase everything\nErase All,Vymazat vše\nVymazat vše
Erase the search path or settings of the specified file name.,Vymažte vyhledávací cestu nebo nastavení zadaného názvu souboru.
Erase the selection\nErase,vymazat výběr\nVymazat
Error,Chyba
Error adding content into a table cell,Chyba při přidávání obsahu do buňky tabulky
Error caused by an invalid parameter in the function.,Chyba způsobená neplatným parametrem ve funkci.
Error During Layout Selection,Chyba při výběru rozvržení
Error during verification!,Chyba při ověřování!
Error evaluating fields,Chyba zpracování polí
Error file type.,Chybný typ souboru.
"Error in ""%s"". (widget type =%s, key = ""%s"")\n","Chyba v ""%s"". (typ aplikace =%s, kláves = ""%s"")\n"
Error in %s.\n    The definition of this widget's prototype is circular.\n\n,Chyba v %s.\n    Definice tohoto prototypu aplikace je cyklická.\n\n
"Error in loading ""overkill.dcl""\n","Chyba při načítání ""overkill.dcl""\n"
Error in pattern file,Chyba v souboru vzoru.
Error in registering context-sensitive menu,Chyba při registraci kontextového menu
Error in syncing file: {0},Chyba v synchronizovaném souboru: {0}
Error in writing/closing file.,Chyba při zápisu/zavírání souboru.
Error information,Chybná informace
"Error Invalid symbol name.\nThese are invalid characters:\n ""%ls"".","Chyba Neplatný název symbolu.\nToto jsou neplatné znaky:\n ""%ls""."
Error modifying property.,Chyba při úpravě vlastnosti.
Error occurred during call to flxActCommonReqairLocalTrustedStorage.,Chyba během volání do flxActCommonReqairLocalTrustedStorage.
Error occurred on the license sever when you return a license to it.,Server generoval chybu v průběhu pokusu o vrácení licence.
Error occurred when reading or editing the file!,Při načitání a editování souboru se objevila chyba.
Error occurred when starting Google Earth. Please start Google Earth Manually and try again.,Při spuštění Google Earth se objevila chyba. Spusťte prosím Google Earth Manuálně a zkuste znovu.
Error occurred while modifying the feature.,Při úpravě funkce došlo k chybě.
"Error opening drawing ""%ls"".","Chyba otevření výkresu ""%ls""."
Error opening log file.,Chyba otevírání log souboru.
Error reading table %ls,Chyba čtení tabulky %ls
Error Report can not be null,Chybová zpráva nemůže být nulová
Error Settings,Nastavení chyb
Error to fit content into a table column,Chyba při vložení obsahu do sloupce tabulky
Error trying to open the callout block %s,Při pokusu o otevření bloku popisků %s došlo k chybě
Error trying to open the callout drawing %s,Při pokusu o otevření výkresu popisku %s došlo k chybě
Error updating table,Chyba aktualizace tabulky
"Error use DIST(p1,p2)","Chyba použití DIST(p1,p2)"
"Error use ILL(p1,p2,p3,p4)","Chyba použití ILL(p1,p2,p3,p4)"
"Error use NOR(p1,p2)","Chyba použití NOR(p1,p2)"
"Error use VEC(FromPt,ToPt)","Chyba použití VEC(FromPt,ToPt)"
"Error use VEC1(FromPt,ToPt)","Chyba použití VEC1(FromPt,ToPt)"
Error when deleting a fulfillment record.,Chyba při odstraňování plnění záznamu.
Error with SSL certificate provided. Verify SSL settings.,Chyba s SSL certifikací. OvěřteSSL nastavení.
Error!,Chyba!
"Error. Widget named ""%s"" is undefined.\n\n","Chyba. Aplikace pojmenována  ""%s"" je nedefinovaná.\n\n"
"ERROR: ""%ls"" is not a valid file.","CHYBA: ""%ls"" není platný soubor."
"Error: ""%s"" file not found.","Chyba: Soubor ""%s"" nenalezen."
